,categories,published_year,average_rating,num_pages,ratings_count,tipo_avaliacao
0,30,2004,3.85,247,361.0,abaixo da média
1,19,2000,3.83,241,5164.0,abaixo da média
2,2,1982,3.97,479,172.0,acima da média
3,30,1993,3.93,512,29532.0,acima da média
4,49,2002,4.15,170,33684.0,acima da média
5,49,2002,4.09,176,37569.0,acima da média
6,14,1977,4.27,560,3975.0,acima da média
7,49,1998,4.41,608,65.0,acima da média
8,49,1994,4.15,743,103.0,acima da média
9,1,1982,4.11,489,43540.0,acima da média
10,1,1994,4.04,501,49170.0,acima da média
11,2,1996,4.15,460,133972.0,acima da média
12,30,1995,4.03,522,2966.0,acima da média
13,49,1996,4.04,823,2805.0,acima da média
14,1,2003,3.7,337,5083.0,abaixo da média
15,27,2003,3.95,368,5579.0,acima da média
16,49,2001,3.66,599,68.0,abaixo da média
17,49,1995,4.05,352,3908.0,acima da média
18,49,1998,3.66,368,1832.0,abaixo da média
19,24,1996,4.23,576,1023.0,acima da média
20,24,1996,4.07,512,2045.0,acima da média
21,49,1996,4.2,512,1441.0,acima da média
22,27,2000,4.24,906,36101.0,acima da média
23,49,1996,4.29,474,7815.0,acima da média
24,1,1997,4.41,261,177.0,acima da média
25,20,1997,4.2,359,6235.0,acima da média
26,49,2003,3.73,772,194.0,abaixo da média
27,49,1998,4.13,317,2481.0,acima da média
28,60,2004,4.04,342,8024.0,acima da média
29,49,2002,3.31,640,6583.0,abaixo da média
30,2,2000,3.26,586,140.0,abaixo da média
31,49,1993,4.17,224,91.0,acima da média
32,49,2001,3.98,352,414.0,acima da média
33,49,2000,3.59,352,87.0,abaixo da média
34,49,2000,3.68,495,44179.0,abaixo da média
35,40,2002,3.5,32,1.0,abaixo da média
36,17,2000,4.27,239,116.0,acima da média
37,40,2000,4.1,159,446.0,acima da média
38,49,2001,3.56,634,7586.0,abaixo da média
39,44,2001,4.09,176,2245.0,acima da média
40,49,2001,3.77,347,9506.0,abaixo da média
41,19,2001,3.89,264,25692.0,abaixo da média
42,49,2003,4.59,72,22.0,acima da média
43,49,2002,3.69,279,350.0,abaixo da média
44,19,2001,3.8,333,21123.0,abaixo da média
45,19,2001,3.86,303,24859.0,abaixo da média
46,49,2001,3.66,336,18820.0,abaixo da média
47,49,2001,3.93,335,23113.0,acima da média
48,19,2002,3.59,272,22155.0,abaixo da média
49,20,2002,3.89,315,12840.0,abaixo da média
50,2,2002,3.75,284,415.0,abaixo da média
51,20,2002,3.98,382,680.0,acima da média
52,49,2002,3.91,351,23249.0,acima da média
53,49,2002,3.83,328,525.0,abaixo da média
54,30,2002,3.71,352,8852.0,abaixo da média
55,19,2002,3.79,384,13022.0,abaixo da média
56,49,2002,3.62,365,13705.0,abaixo da média
57,49,2001,3.86,400,11110.0,abaixo da média
58,49,2001,4.49,1546,187.0,acima da média
59,49,2002,4.07,560,3311.0,acima da média
60,30,2002,4.14,186,56781.0,acima da média
61,49,2002,3.59,207,69.0,abaixo da média
62,49,2002,3.76,173,107.0,abaixo da média
63,49,2004,4.54,224,28.0,acima da média
64,29,2002,4.49,1200,680.0,acima da média
65,49,2002,4.35,410,56.0,acima da média
66,27,2004,4.3,527,1339.0,acima da média
67,49,2002,4.08,178,2964.0,acima da média
68,49,2004,4.06,336,46.0,acima da média
69,30,2007,3.7,414,51219.0,abaixo da média
70,11,2003,3.88,242,78.0,abaixo da média
71,49,2005,3.51,400,2095.0,abaixo da média
